Run#, Rate rad(Si)/s, Dose rad(Si), Duration Time, Measure Dose rad(Si) (+3%), Cumulative Dose rad(Si), Time on, (seconds), 
1,75,30000,0:06:53,30975,30975,1448,413,SN0, 1, 2
2,75,20000,0:04:35,20625,51600,1514,275,
3,75,25000,0:05:44,25800,77400,1559,344,
4,75,25000,0:05:44,25800,103200,1632,344,
