Timestamp, Bytes Received
2025-12-15 09:42:51.591380, 0
2025-12-15 09:42:56.817022, 14912
2025-12-15 09:43:02.849046, 29760
2025-12-15 09:43:07.880104, 44544
2025-12-15 09:43:12.909515, 58560
2025-12-15 09:43:18.942323, 73472
2025-12-15 09:43:23.973388, 88192
2025-12-15 09:43:30.004776, 102848
2025-12-15 09:43:35.034855, 117056
2025-12-15 09:43:40.066514, 131840
2025-12-15 09:43:46.098906, 146560
2025-12-15 09:43:51.129133, 161408
2025-12-15 09:43:56.160211, 175488
2025-12-15 09:44:01.191317, 190336
2025-12-15 09:44:06.221792, 205120
2025-12-15 09:44:11.253570, 219904
2025-12-15 09:44:16.285183, 233984
2025-12-15 09:44:21.316347, 248832
2025-12-15 09:44:26.348260, 263680
2025-12-15 09:44:31.378955, 278592
2025-12-15 09:44:36.410148, 293440
2025-12-15 09:44:41.441149, 307520
2025-12-15 09:44:46.472116, 322304
2025-12-15 09:44:51.503507, 337088
2025-12-15 09:44:56.534927, 351936
2025-12-15 09:45:01.564055, 361280
2025-12-15 09:45:06.591488, 371520
2025-12-15 09:45:11.623551, 386304
2025-12-15 09:45:16.654154, 401280
2025-12-15 09:45:21.684765, 415296
2025-12-15 09:45:26.715712, 430144
2025-12-15 09:45:31.748020, 444864
2025-12-15 09:45:36.778446, 459648
2025-12-15 09:45:41.808799, 473664
2025-12-15 09:45:46.840175, 488512
2025-12-15 09:45:51.874155, 503360
2025-12-15 09:45:56.905507, 518144
2025-12-15 09:46:01.935845, 532352
2025-12-15 09:46:06.967430, 547136
2025-12-15 09:46:11.999021, 562112
2025-12-15 09:46:17.028742, 571328
2025-12-15 09:46:22.057689, 578944
2025-12-15 09:46:27.089164, 593856
2025-12-15 09:46:32.120417, 608640
2025-12-15 09:46:37.150456, 618432
2025-12-15 09:46:42.180604, 632448
2025-12-15 09:46:47.212559, 647360
2025-12-15 09:46:52.240887, 662080
2025-12-15 09:46:57.273135, 677056
2025-12-15 09:47:02.302535, 691072
2025-12-15 09:47:07.333780, 705984
