Timestamp, Bytes Received
2025-12-15 08:29:59.541902, 0
2025-12-15 08:30:08.238974, 15296
2025-12-15 08:30:13.271852, 30592
2025-12-15 08:30:18.307144, 45952
2025-12-15 08:30:23.338133, 60160
2025-12-15 08:30:28.371269, 75328
2025-12-15 08:30:33.403367, 90368
2025-12-15 08:30:38.436842, 105728
2025-12-15 08:30:43.471636, 118528
2025-12-15 08:30:48.506996, 131712
2025-12-15 08:30:53.537884, 146944
2025-12-15 08:30:58.570511, 161856
2025-12-15 08:31:03.601520, 176064
2025-12-15 08:31:08.634073, 191232
2025-12-15 08:31:13.666920, 206720
2025-12-15 08:31:18.700840, 221952
2025-12-15 08:31:23.733571, 235776
2025-12-15 08:31:28.766632, 250752
2025-12-15 08:31:33.799205, 265600
2025-12-15 08:31:38.832880, 280512
2025-12-15 08:31:43.866402, 296000
2025-12-15 08:31:48.897622, 310144
2025-12-15 08:31:53.929420, 325504
2025-12-15 08:31:58.960410, 340800
2025-12-15 08:32:03.992442, 355776
2025-12-15 08:32:09.022455, 370112
2025-12-15 08:32:14.052486, 385408
2025-12-15 08:32:19.084272, 400320
2025-12-15 08:32:24.116302, 415808
2025-12-15 08:32:29.146704, 429696
2025-12-15 08:32:34.178692, 444736
2025-12-15 08:32:39.210993, 460160
2025-12-15 08:32:44.242869, 475328
2025-12-15 08:32:49.273513, 489664
2025-12-15 08:32:54.305453, 504960
2025-12-15 08:32:59.340000, 520064
2025-12-15 08:33:04.372206, 535424
2025-12-15 08:33:09.402883, 549440
2025-12-15 08:33:14.435312, 564672
2025-12-15 08:33:19.467418, 579968
2025-12-15 08:33:24.499765, 595200
2025-12-15 08:33:29.530846, 609280
2025-12-15 08:33:34.563202, 624768
2025-12-15 08:33:39.595750, 639808
2025-12-15 08:33:44.627896, 655232
2025-12-15 08:33:49.659405, 669440
2025-12-15 08:33:54.691424, 684608
2025-12-15 08:33:59.721921, 699904
2025-12-15 08:34:04.754078, 714880
2025-12-15 08:34:09.784669, 729088
2025-12-15 08:34:14.817030, 744192
2025-12-15 08:34:19.850550, 759488
2025-12-15 08:34:24.883019, 774656
2025-12-15 08:34:29.914216, 788800
2025-12-15 08:34:34.946074, 804160
2025-12-15 08:34:39.979566, 819648
2025-12-15 08:34:45.011564, 835072
2025-12-15 08:34:50.045106, 849024
2025-12-15 08:34:55.077550, 864384
2025-12-15 08:35:00.110637, 879424
2025-12-15 08:35:05.143852, 894784
2025-12-15 08:35:10.174886, 908992
2025-12-15 08:35:15.206955, 924096
2025-12-15 08:35:20.239933, 939520
2025-12-15 08:35:25.272797, 954560
2025-12-15 08:35:30.304018, 968832
2025-12-15 08:35:35.337139, 984064
2025-12-15 08:35:40.368046, 994816
2025-12-15 08:35:45.398345, 1009984
2025-12-15 08:35:50.429517, 1023936
2025-12-15 08:35:55.462244, 1038784
2025-12-15 08:36:00.494991, 1054016
