Timestamp, Bytes Received
2025-12-15 08:36:22.048437, 0
2025-12-15 08:36:27.717800, 14208
2025-12-15 08:36:32.750631, 29376
2025-12-15 08:36:37.784274, 44736
2025-12-15 08:36:42.817194, 59968
2025-12-15 08:36:48.848963, 73984
2025-12-15 08:36:53.881801, 89152
2025-12-15 08:36:58.915304, 104192
2025-12-15 08:37:03.948181, 119424
2025-12-15 08:37:09.980818, 133696
2025-12-15 08:37:15.012825, 148736
2025-12-15 08:37:20.045843, 164224
2025-12-15 08:37:25.078718, 179200
2025-12-15 08:37:30.110909, 193536
2025-12-15 08:37:36.144341, 208896
2025-12-15 08:37:41.178054, 224064
2025-12-15 08:37:46.210127, 239360
2025-12-15 08:37:51.242104, 253632
2025-12-15 08:37:56.274481, 268864
2025-12-15 08:38:01.308143, 284096
2025-12-15 08:38:06.341365, 299264
2025-12-15 08:38:11.372841, 313472
2025-12-15 08:38:16.405775, 328704
2025-12-15 08:38:21.438603, 343872
2025-12-15 08:38:26.473609, 359232
2025-12-15 08:38:31.505151, 373504
2025-12-15 08:38:36.537531, 388608
2025-12-15 08:38:41.570876, 403712
2025-12-15 08:38:46.603609, 418816
2025-12-15 08:38:51.635627, 432960
2025-12-15 08:38:56.668308, 448256
2025-12-15 08:39:01.699483, 454656
2025-12-15 08:39:06.732603, 470080
2025-12-15 08:39:11.763780, 476864
2025-12-15 08:39:16.801295, 491712
2025-12-15 08:39:21.831028, 506368
2025-12-15 08:39:26.863925, 521472
2025-12-15 08:39:31.895297, 535552
2025-12-15 08:39:36.928694, 551040
2025-12-15 08:39:41.961848, 565888
2025-12-15 08:39:46.994953, 580928
2025-12-15 08:39:52.026434, 594944
2025-12-15 08:39:57.059323, 609984
2025-12-15 08:40:02.088951, 617600
2025-12-15 08:40:07.121767, 632704
2025-12-15 08:40:12.156102, 646976
2025-12-15 08:40:17.188440, 662400
2025-12-15 08:40:22.220739, 677568
2025-12-15 08:40:27.251436, 692416
2025-12-15 08:40:32.280003, 706432
2025-12-15 08:40:37.311107, 721920
2025-12-15 08:40:42.342202, 736768
2025-12-15 08:40:47.373236, 751872
2025-12-15 08:40:52.402245, 765824
2025-12-15 08:40:57.433288, 780800
2025-12-15 08:41:02.464447, 795712
2025-12-15 08:41:07.496602, 810688
2025-12-15 08:41:12.523843, 824704
2025-12-15 08:41:17.554418, 840000
2025-12-15 08:41:22.586738, 855296
2025-12-15 08:41:27.618202, 870400
2025-12-15 08:41:32.648239, 884608
2025-12-15 08:41:37.678975, 899968
2025-12-15 08:41:42.710591, 915008
2025-12-15 08:41:47.742256, 930176
2025-12-15 08:41:52.772306, 944384
2025-12-15 08:41:57.807567, 959808
2025-12-15 08:42:02.839267, 974656
2025-12-15 08:42:07.870499, 989760
2025-12-15 08:42:12.901400, 1003776
2025-12-15 08:42:17.933002, 1018688
2025-12-15 08:42:22.964461, 1033984
2025-12-15 08:42:27.997007, 1048832
2025-12-15 08:42:33.026631, 1063104
2025-12-15 08:42:38.058514, 1077888
2025-12-15 08:42:43.090728, 1093056
2025-12-15 08:42:48.122797, 1108160
2025-12-15 08:42:53.153202, 1122048
2025-12-15 08:42:58.182685, 1137024
2025-12-15 08:43:03.215599, 1152064
2025-12-15 08:43:08.247617, 1166784
2025-12-15 08:43:13.278309, 1181056
2025-12-15 08:43:18.310511, 1196096
2025-12-15 08:43:23.341503, 1210560
2025-12-15 08:43:28.374762, 1223232
2025-12-15 08:43:33.405574, 1237568
2025-12-15 08:43:38.437978, 1252736
2025-12-15 08:43:43.469945, 1268032
2025-12-15 08:43:48.504474, 1283200
2025-12-15 08:43:53.535286, 1297472
2025-12-15 08:43:58.567336, 1312384
2025-12-15 08:44:03.599779, 1327680
2025-12-15 08:44:08.632337, 1342976
2025-12-15 08:44:13.663238, 1356992
2025-12-15 08:44:18.695471, 1372224
2025-12-15 08:44:23.728765, 1387584
2025-12-15 08:44:28.761248, 1402944
2025-12-15 08:44:33.792111, 1417216
2025-12-15 08:44:38.824639, 1432512
2025-12-15 08:44:43.854337, 1447680
2025-12-15 08:44:48.887217, 1463040
2025-12-15 08:44:53.918186, 1477184
2025-12-15 08:44:58.950560, 1492288
2025-12-15 08:45:03.983151, 1507456
2025-12-15 08:45:09.014888, 1522624
2025-12-15 08:45:14.045988, 1536832
2025-12-15 08:45:19.078314, 1551808
2025-12-15 08:45:24.111852, 1567040
2025-12-15 08:45:29.143391, 1582144
2025-12-15 08:45:34.176939, 1596288
2025-12-15 08:45:39.207763, 1604736
2025-12-15 08:45:44.239879, 1619648
2025-12-15 08:45:49.272173, 1634816
2025-12-15 08:45:54.303395, 1648448
2025-12-15 08:45:59.335889, 1663488
2025-12-15 08:46:04.368476, 1678528
2025-12-15 08:46:09.400820, 1693696
2025-12-15 08:46:14.431951, 1707904
2025-12-15 08:46:19.464623, 1722816
2025-12-15 08:46:24.496503, 1737792
2025-12-15 08:46:29.529755, 1752512
2025-12-15 08:46:34.557904, 1766592
2025-12-15 08:46:39.590935, 1781696
2025-12-15 08:46:44.623378, 1796736
2025-12-15 08:46:49.654146, 1810880
2025-12-15 08:46:54.687487, 1826176
2025-12-15 08:46:59.720077, 1841408
2025-12-15 08:47:04.752554, 1856320
2025-12-15 08:47:09.783744, 1870336
2025-12-15 08:47:14.817198, 1885568
2025-12-15 08:47:19.850539, 1900928
2025-12-15 08:47:24.883225, 1915968
2025-12-15 08:47:29.914501, 1929792
2025-12-15 08:47:34.946469, 1944960
2025-12-15 08:47:39.980161, 1960000
2025-12-15 08:47:45.012308, 1974912
2025-12-15 08:47:50.044181, 1988800
2025-12-15 08:47:55.076945, 2004096
2025-12-15 08:48:00.109311, 2018880
2025-12-15 08:48:05.142545, 2033984
2025-12-15 08:48:10.173875, 2048192
2025-12-15 08:48:15.209990, 2062272
2025-12-15 08:48:20.242810, 2077440
2025-12-15 08:48:25.275862, 2092672
2025-12-15 08:48:30.306273, 2107008
2025-12-15 08:48:35.339992, 2121984
2025-12-15 08:48:40.372821, 2136960
2025-12-15 08:48:45.405791, 2152256
2025-12-15 08:48:50.437039, 2166400
2025-12-15 08:48:55.471324, 2181376
2025-12-15 08:49:00.504205, 2196224
2025-12-15 08:49:05.535892, 2211392
2025-12-15 08:49:10.567044, 2225472
2025-12-15 08:49:15.599016, 2240576
2025-12-15 08:49:20.631031, 2255744
2025-12-15 08:49:25.663707, 2271104
2025-12-15 08:49:30.694826, 2285248
2025-12-15 08:49:35.726964, 2300032
2025-12-15 08:49:40.759231, 2315264
2025-12-15 08:49:45.791566, 2330432
2025-12-15 08:49:50.822344, 2344512
2025-12-15 08:49:55.855178, 2359808
2025-12-15 08:50:00.887000, 2375040
2025-12-15 08:50:05.919147, 2390272
2025-12-15 08:50:10.949960, 2404224
2025-12-15 08:50:15.983035, 2419200
2025-12-15 08:50:21.014971, 2434304
2025-12-15 08:50:26.047851, 2449216
2025-12-15 08:50:31.078221, 2463168
2025-12-15 08:50:36.111505, 2478336
2025-12-15 08:50:41.143815, 2493312
2025-12-15 08:50:46.176369, 2508480
2025-12-15 08:50:51.207203, 2522432
2025-12-15 08:50:56.239830, 2537728
2025-12-15 08:51:01.271675, 2552960
2025-12-15 08:51:06.304454, 2568320
2025-12-15 08:51:11.335935, 2582592
2025-12-15 08:51:16.368057, 2597632
2025-12-15 08:51:21.400260, 2612544
2025-12-15 08:51:26.433220, 2627840
2025-12-15 08:51:31.461468, 2634368
2025-12-15 08:51:36.493497, 2649280
2025-12-15 08:51:41.523211, 2655872
2025-12-15 08:51:46.552737, 2671104
2025-12-15 08:51:51.584522, 2685120
2025-12-15 08:51:56.617216, 2700416
2025-12-15 08:52:01.648922, 2715648
2025-12-15 08:52:06.682049, 2730880
2025-12-15 08:52:11.713084, 2744896
2025-12-15 08:52:16.745926, 2759936
2025-12-15 08:52:21.778686, 2775360
2025-12-15 08:52:26.811175, 2790336
2025-12-15 08:52:31.841996, 2804480
2025-12-15 08:52:36.870977, 2812096
2025-12-15 08:52:41.904340, 2827264
2025-12-15 08:52:46.936265, 2842368
2025-12-15 08:52:51.968160, 2856384
