Timestamp, Bytes Received
2025-12-15 10:54:10.400797, 0
2025-12-15 10:54:16.269325, 13568
2025-12-15 10:54:21.300903, 27136
2025-12-15 10:54:27.333660, 40576
2025-12-15 10:54:32.365433, 54336
2025-12-15 10:54:37.396986, 68032
2025-12-15 10:54:42.428566, 81472
2025-12-15 10:54:47.459965, 94912
2025-12-15 10:54:52.491859, 108928
2025-12-15 10:54:57.526012, 122560
2025-12-15 10:55:02.557564, 136128
2025-12-15 10:55:07.588974, 149376
2025-12-15 10:55:12.620815, 163008
2025-12-15 10:55:17.652546, 176576
2025-12-15 10:55:22.684271, 190272
2025-12-15 10:55:27.715787, 203968
2025-12-15 10:55:32.744881, 217600
2025-12-15 10:55:37.777262, 231232
2025-12-15 10:55:42.808355, 244672
2025-12-15 10:55:47.840272, 258432
2025-12-15 10:55:52.871884, 272000
2025-12-15 10:55:57.903800, 285632
2025-12-15 10:56:02.935519, 299264
2025-12-15 10:56:07.967425, 313024
2025-12-15 10:56:12.999157, 326592
2025-12-15 10:56:18.033667, 340352
2025-12-15 10:56:23.065557, 353920
2025-12-15 10:56:28.097293, 367552
2025-12-15 10:56:33.128226, 376512
2025-12-15 10:56:38.159540, 387200
2025-12-15 10:56:43.191393, 401088
2025-12-15 10:56:48.223313, 414720
2025-12-15 10:56:53.254474, 425792
2025-12-15 10:56:58.286374, 439488
2025-12-15 10:57:03.317589, 450176
2025-12-15 10:57:08.349248, 463808
2025-12-15 10:57:13.380808, 475392
2025-12-15 10:57:18.410015, 488832
2025-12-15 10:57:23.441867, 502464
2025-12-15 10:57:28.473626, 516032
2025-12-15 10:57:33.505352, 529536
2025-12-15 10:57:38.537297, 543232
2025-12-15 10:57:43.569076, 556800
2025-12-15 10:57:48.600941, 570560
2025-12-15 10:57:53.632505, 583424
2025-12-15 10:57:58.664357, 597056
2025-12-15 10:58:03.698795, 610560
2025-12-15 10:58:08.730376, 623936
2025-12-15 10:58:13.762368, 637248
2025-12-15 10:58:18.794139, 650944
2025-12-15 10:58:23.825742, 664512
2025-12-15 10:58:28.857972, 678720
2025-12-15 10:58:33.889748, 692224
2025-12-15 10:58:38.920834, 701824
2025-12-15 10:58:43.952564, 715392
2025-12-15 10:58:48.984363, 729152
2025-12-15 10:58:54.016306, 742720
2025-12-15 10:58:59.048195, 756480
2025-12-15 10:59:04.077322, 770048
2025-12-15 10:59:09.109072, 783744
2025-12-15 10:59:14.140780, 797248
2025-12-15 10:59:19.172743, 811008
2025-12-15 10:59:24.204530, 824704
2025-12-15 10:59:29.236442, 838336
2025-12-15 10:59:34.268206, 851904
2025-12-15 10:59:39.299977, 865536
2025-12-15 10:59:44.331883, 879168
2025-12-15 10:59:49.363564, 892224
2025-12-15 10:59:54.397738, 905664
2025-12-15 10:59:59.429675, 919424
2025-12-15 11:00:04.461551, 933184
2025-12-15 11:00:09.493140, 946752
2025-12-15 11:00:14.525251, 960320
2025-12-15 11:00:19.557250, 974656
2025-12-15 11:00:24.588929, 988416
2025-12-15 11:00:29.620929, 1002176
2025-12-15 11:00:34.652663, 1015808
2025-12-15 11:00:39.684523, 1029440
2025-12-15 11:00:44.716324, 1043072
2025-12-15 11:00:49.745398, 1056576
2025-12-15 11:00:54.777085, 1069952
2025-12-15 11:00:59.809057, 1083584
2025-12-15 11:01:04.840979, 1097280
2025-12-15 11:01:09.872779, 1111040
2025-12-15 11:01:14.904660, 1124608
2025-12-15 11:01:19.936492, 1138112
2025-12-15 11:01:24.968221, 1151744
2025-12-15 11:01:30.000182, 1165568
2025-12-15 11:01:35.031993, 1179072
2025-12-15 11:01:40.066100, 1192704
2025-12-15 11:01:45.098299, 1206272
2025-12-15 11:01:50.129890, 1219904
2025-12-15 11:01:55.161585, 1233280
2025-12-15 11:02:00.193325, 1246912
2025-12-15 11:02:05.225608, 1260544
2025-12-15 11:02:10.257466, 1274112
2025-12-15 11:02:15.289295, 1287616
2025-12-15 11:02:20.321075, 1301376
2025-12-15 11:02:25.352910, 1314880
2025-12-15 11:02:30.384663, 1328320
2025-12-15 11:02:35.416489, 1341760
2025-12-15 11:02:40.445793, 1355392
2025-12-15 11:02:45.477621, 1368960
2025-12-15 11:02:50.509480, 1382720
2025-12-15 11:02:55.541167, 1396288
2025-12-15 11:03:00.573145, 1410048
2025-12-15 11:03:05.604893, 1423552
2025-12-15 11:03:10.636707, 1437248
2025-12-15 11:03:15.668624, 1450880
2025-12-15 11:03:20.700496, 1464576
2025-12-15 11:03:25.734759, 1478208
2025-12-15 11:03:30.766788, 1491968
2025-12-15 11:03:35.798419, 1505728
2025-12-15 11:03:40.830588, 1519424
2025-12-15 11:03:45.862403, 1533056
2025-12-15 11:03:50.893998, 1546560
2025-12-15 11:03:55.926199, 1560448
2025-12-15 11:04:00.957933, 1574016
2025-12-15 11:04:05.989679, 1587712
2025-12-15 11:04:11.021727, 1601408
2025-12-15 11:04:16.053339, 1614976
2025-12-15 11:04:21.085286, 1628608
2025-12-15 11:04:26.114595, 1642304
2025-12-15 11:04:31.146479, 1656192
2025-12-15 11:04:36.178263, 1669888
2025-12-15 11:04:41.210192, 1683584
2025-12-15 11:04:46.241852, 1697088
2025-12-15 11:04:51.273986, 1710720
2025-12-15 11:04:56.305624, 1724352
2025-12-15 11:05:01.337395, 1737984
2025-12-15 11:05:06.369271, 1751808
2025-12-15 11:05:11.401204, 1765376
2025-12-15 11:05:16.435427, 1778880
2025-12-15 11:05:21.467279, 1792512
2025-12-15 11:05:26.499009, 1806208
2025-12-15 11:05:31.531091, 1819968
2025-12-15 11:05:36.562948, 1833536
2025-12-15 11:05:41.594529, 1847360
2025-12-15 11:05:46.626731, 1861504
2025-12-15 11:05:51.658709, 1875328
2025-12-15 11:05:56.690441, 1888832
2025-12-15 11:06:01.722299, 1902528
2025-12-15 11:06:06.754189, 1915968
2025-12-15 11:06:11.783395, 1929472
2025-12-15 11:06:16.815193, 1943232
2025-12-15 11:06:21.847086, 1956992
2025-12-15 11:06:26.878866, 1970496
2025-12-15 11:06:31.910743, 1984000
2025-12-15 11:06:36.942446, 1997440
2025-12-15 11:06:41.974461, 2011200
2025-12-15 11:06:47.006128, 2024704
2025-12-15 11:06:52.038132, 2038464
2025-12-15 11:06:57.070015, 2052032
2025-12-15 11:07:02.104364, 2065792
2025-12-15 11:07:07.136081, 2079488
2025-12-15 11:07:12.168190, 2093184
2025-12-15 11:07:17.199899, 2106688
2025-12-15 11:07:22.231840, 2120576
2025-12-15 11:07:27.263562, 2134208
2025-12-15 11:07:32.295610, 2148032
2025-12-15 11:07:37.327519, 2162304
2025-12-15 11:07:42.359372, 2176064
2025-12-15 11:07:47.391312, 2189760
2025-12-15 11:07:52.423155, 2203392
2025-12-15 11:07:57.454771, 2216768
2025-12-15 11:08:02.484185, 2230400
2025-12-15 11:08:07.516078, 2244160
2025-12-15 11:08:12.547815, 2257600
2025-12-15 11:08:17.579605, 2271040
2025-12-15 11:08:22.611491, 2284672
2025-12-15 11:08:27.643405, 2298432
2025-12-15 11:08:32.675311, 2312128
2025-12-15 11:08:37.707132, 2325952
2025-12-15 11:08:42.738960, 2339648
2025-12-15 11:08:47.773464, 2353280
2025-12-15 11:08:52.805278, 2366784
2025-12-15 11:08:57.836984, 2380416
2025-12-15 11:09:02.868766, 2394112
2025-12-15 11:09:07.900628, 2407744
2025-12-15 11:09:12.932430, 2421376
2025-12-15 11:09:17.964203, 2434880
2025-12-15 11:09:22.996427, 2448384
2025-12-15 11:09:28.028176, 2462016
2025-12-15 11:09:33.060115, 2475584
2025-12-15 11:09:38.091826, 2489024
2025-12-15 11:09:43.123806, 2502720
2025-12-15 11:09:48.152936, 2516224
2025-12-15 11:09:53.184873, 2529856
