Run#, Rate rad(Si)/s, Dose rad(Si), Duration Time, Measure Dose rad(Si) (+3%), Cummulative Dose rad(Si), Time on, (seconds), 
1,75,10000,0:02:18,10350,10350,1255,138,
2,75,10000,0:02:18,10350,20700,1258,138,
3,75,10000,0:02:18,10350,31050,1300,138,
4,75,10000,0:02:18,10350,41400,1303,138,
5,75,10000,0:02:18,10350,51750,1306,138,
6,75,10000,0:02:18,10350,62100,1309,138,
7,75,10000,0:02:18,10350,72450,1312,138,
8,75,10000,0:02:18,10350,82800,1315,138,
9,75,10000,0:02:18,10350,93150,1317,138,
10,75,10000,0:02:18,10350,103500,1320,138,
11,75,10000,0:02:18,10350,113850,1324,138,
12,75,10000,0:02:18,10350,124200,1329,138,1 Pulled at 101
13,75,10000,0:02:18,10350,134550,1334,138,
14,75,10000,0:02:18,10350,144900,1337,138,
15,75,10000,0:02:18,10350,155250,1340,138,
15,75,10000,0:02:18,10350,165600,1343,138,
15,75,10000,0:02:18,10350,175950,1346,138,
15,75,10000,0:02:18,10350,186300,1349,138,
15,75,10000,0:02:18,10350,196650,1352,138,Paused at 30s
15,75,10000,0:02:18,10350,207000,1355,138,Stopped at 70s
